Date,Open,High,Low,Close,Adj Close,Volume
2014-01-23,15.675000,15.678333,15.275000,15.533333,15.210590,14568000
2014-01-24,15.218333,15.233333,14.515000,14.515000,14.213419,21735600
2014-01-27,14.575000,14.675000,14.091667,14.308333,14.011045,20726400
2014-01-28,14.361667,14.620000,14.333333,14.560000,14.257483,11954400
2014-01-29,14.200000,14.431667,14.028333,14.125000,13.831521,18607800
2014-01-30,14.496667,14.728333,14.360000,14.603333,14.299914,10064400
2014-01-31,14.050000,14.600000,14.028333,14.331667,14.033892,15551400
2014-02-03,14.273333,14.375000,13.280000,13.361667,13.084045,26589000
2014-02-04,13.545000,13.741667,13.401667,13.631667,13.348439,21392400
2014-02-05,13.493333,13.678333,13.245000,13.585000,13.302740,13997400
2014-02-06,13.688333,14.123333,13.688333,14.110000,13.816833,12919200
2014-02-07,14.330000,14.695000,14.188333,14.666667,14.361936,16462800
2014-02-10,14.655000,14.745000,14.538333,14.733333,14.427215,10912800
2014-02-11,14.780000,15.325000,14.741667,15.208333,14.892344,15404400
2014-02-12,15.281667,15.423333,15.143333,15.250000,14.933145,12585600
2014-02-13,14.928333,15.518333,14.925000,15.481667,15.159998,15315000
2014-02-14,15.431667,15.810000,15.385000,15.716667,15.390116,14738400
2014-02-18,15.763333,15.846667,15.630000,15.786667,15.458664,10799400
2014-02-19,15.663333,15.961667,15.423333,15.461667,15.140416,20560800
2014-02-20,15.528333,15.843333,15.363333,15.718333,15.391749,14734800
2014-02-21,15.836667,15.940000,15.660000,15.696667,15.370535,10281600
2014-02-24,15.786667,16.256666,15.760000,15.930000,15.599018,12042000
2014-02-25,15.973333,16.115000,15.768333,15.920000,15.589224,14817000
2014-02-26,15.988333,16.115000,15.793333,15.921667,15.590857,11769000
2014-02-27,15.851667,16.184999,15.805000,16.184999,15.848722,11027400
2014-02-28,16.168333,16.520000,15.976667,16.288334,15.949904,15994800
2014-03-03,15.871667,16.070000,15.630000,15.950000,15.618603,22348200
2014-03-04,16.413334,16.731667,16.408333,16.626667,16.281212,21668400
2014-03-05,16.655001,16.753332,16.591667,16.638332,16.292635,13786200
2014-03-06,16.799999,16.901667,16.709999,16.791668,16.442787,10782000
2014-03-07,16.971666,16.991667,16.588333,16.790001,16.441149,17875800
2014-03-10,16.726667,16.795000,16.486668,16.776667,16.428095,7149600
2014-03-11,16.858334,16.923332,16.410000,16.526667,16.183292,11498400
